"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000152270","PDE3B",-0.693079541282497,0.773413111689435,"PDE3B",-0.412286179685475,0.841434817923228,"PDE3B",0.198550890097421,FALSE
"ENSG00000250218","ALDH1L1-AS1",1.50976875580464,0.773413111689435,"ALDH1L1-AS1",1.27917985315915,0.682417002932747,"ALDH1L1-AS1",0.163050976726989,FALSE
"ENSG00000162236","STX5",0.516211240962084,0.774028999670794,"STX5",0.343020391901757,0.845555184116852,"STX5",0.122464423810014,FALSE
"ENSG00000176979","TRIM60",-6.18300852179818,0.774028999670794,"TRIM60",-7.13355049257658,0.63746010809045,"TRIM60",0.672134673339833,FALSE
"ENSG00000221844","DPP3P2",-6.18300852179818,0.774028999670794,"DPP3P2",-2.11579964794387,0.964129527293007,"DPP3P2",2.87595097520448,FALSE
"ENSG00000079931","MOXD1",1.87857631501121,0.775030979135097,"MOXD1",-0.71072308877104,0.948054927203948,"MOXD1",1.83091116693671,FALSE
"ENSG00000133135","RNF128",-2.03159828155282,0.775030979135097,"RNF128",-2.92733584367778,0.179729640946829,"RNF128",0.633382104342062,FALSE
"ENSG00000135605","TEC",1.85614301699622,0.775030979135097,"TEC",1.31582476732056,0.839475913183478,"TEC",0.382062698344501,FALSE
"ENSG00000160200","CBS",-0.611135910187627,0.775030979135097,"CBS",-0.172841299744391,0.993485324938283,"CBS",0.309921091201928,FALSE
"ENSG00000172901","LVRN",-1.80044722774945,0.775030979135097,"LVRN",-0.0667789522864933,0.997138100692969,"LVRN",1.22588859390784,FALSE
"ENSG00000175229","GAL3ST3",-0.721786968409098,0.775030979135097,"GAL3ST3",-0.749241734118757,0.855532385363704,"GAL3ST3",0.0194134510091875,FALSE
"ENSG00000181408","UTS2R",1.38243136922856,0.775030979135097,"UTS2R",1.2613040328353,0.708699086709472,"UTS2R",0.0856499609507389,FALSE
"ENSG00000184347","SLIT3",1.13637563357262,0.775030979135097,"SLIT3",-0.205816692757355,0.993556348929394,"SLIT3",0.94907329560447,FALSE
"ENSG00000196739","COL27A1",1.36690860915707,0.775030979135097,"COL27A1",1.33231961561311,0.580859412397137,"COL27A1",0.0244581118893506,FALSE
"ENSG00000198844","ARHGEF15",-1.8897814092864,0.775030979135097,"ARHGEF15",-1.15793035880843,0.845555184116852,"ARHGEF15",0.517496840611466,FALSE
